arm,merge_id,scenario_id,file_path,merge_outcome,JoernDataFlowInterference,JoernUnresolvedReference,JoernInfiniteLoop,JoernInvalidLoopBounds,RM2RenameConflict,file_verdict,runtime_s
ctl,fasterxml_jackson-core__be2854d5c6,fasterxml_jackson-core__be2854d5c6__src_test_java_com_fasterxml_jackson_core_filter_BasicParserFilteringTest.java,src/test/java/com/fasterxml/jackson/core/filter/BasicParserFilteringTest.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,71.79
ctl,fernandezpablo85_scribe-java__33d45e1797,fernandezpablo85_scribe-java__33d45e1797__scribejava-core_src_main_java_com_github_scribejava_core_oauth_OAuth10aService.java,scribejava-core/src/main/java/com/github/scribejava/core/oauth/OAuth10aService.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,68.09
ctl,fiji_trackmate__1792dcc505,fiji_trackmate__1792dcc505__src_main_java_fiji_plugin_trackmate_io_TmXmlReader.java,src/main/java/fiji/plugin/trackmate/io/TmXmlReader.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,75.251
ctl,fiji_trackmate__97cfa79dd2,fiji_trackmate__97cfa79dd2__src_main_java_fiji_plugin_trackmate_action_CopyOverlayAction.java,src/main/java/fiji/plugin/trackmate/action/CopyOverlayAction.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,74.481
ctl,fiji_trackmate__97cfa79dd2,fiji_trackmate__97cfa79dd2__src_main_java_fiji_plugin_trackmate_gui_TrackMateGUIController.java,src/main/java/fiji/plugin/trackmate/gui/TrackMateGUIController.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,75.644
ctl,fincatto_nfe__6758366981,fincatto_nfe__6758366981__src_main_java_com_fincatto_documentofiscal_nfe400_classes_lote_envio_NFLoteEnvioRetorno.java,src/main/java/com/fincatto/documentofiscal/nfe400/classes/lote/envio/NFLoteEnvioRetorno.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,66.815
ctl,fincatto_nfe__bd66db2a72,fincatto_nfe__bd66db2a72__src_main_java_com_fincatto_documentofiscal_utils_DFSocketFactory.java,src/main/java/com/fincatto/documentofiscal/utils/DFSocketFactory.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,66.5
ctl,findwise_hydra__76fe21c315,findwise_hydra__76fe21c315__admin-service_src_main_java_com_findwise_hydra_admin_rest_ConfigurationController.java,admin-service/src/main/java/com/findwise/hydra/admin/rest/ConfigurationController.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,65.601
ctl,flaxsearch_luwak__2805c0447a,flaxsearch_luwak__2805c0447a__luwak_src_main_java_uk_co_flax_luwak_util_SpanExtractor.java,luwak/src/main/java/uk/co/flax/luwak/util/SpanExtractor.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,67.428
ctl,fluentlenium_fluentlenium__2cd4ecb82f,fluentlenium_fluentlenium__2cd4ecb82f__fluentlenium-core_src_main_java_org_fluentlenium_core_inject_FluentInjector.java,fluentlenium-core/src/main/java/org/fluentlenium/core/inject/FluentInjector.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,78.157
ctl,fluentlenium_fluentlenium__d88fff0f59,fluentlenium_fluentlenium__d88fff0f59__fluentlenium-core_src_test_java_org_fluentlenium_integration_FluentLeniumWaitTest.java,fluentlenium-core/src/test/java/org/fluentlenium/integration/FluentLeniumWaitTest.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,77.561
ctl,flyingsaucerproject_flyingsaucer__5a2a7d36a1,flyingsaucerproject_flyingsaucer__5a2a7d36a1__flying-saucer-core_src_main_java_org_xhtmlrenderer_css_newmatch_Condition.java,flying-saucer-core/src/main/java/org/xhtmlrenderer/css/newmatch/Condition.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,72.507
ctl,flyingsaucerproject_flyingsaucer__9b83c56a8c,flyingsaucerproject_flyingsaucer__9b83c56a8c__flying-saucer-pdf_src_main_java_org_xhtmlrenderer_pdf_ITextRenderer.java,flying-saucer-pdf/src/main/java/org/xhtmlrenderer/pdf/ITextRenderer.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,74.883
ctl,flyingsaucerproject_flyingsaucer__b2ef06a76f,flyingsaucerproject_flyingsaucer__b2ef06a76f__flying-saucer-pdf-itext5_src_main_java_org_xhtmlrenderer_pdf_ITextOutputDevice.java,flying-saucer-pdf-itext5/src/main/java/org/xhtmlrenderer/pdf/ITextOutputDevice.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,83.195
ctl,forcedotcom_wsc__332e09483d,forcedotcom_wsc__332e09483d__src_main_java_com_sforce_ws_bind_TypeMapper.java,src/main/java/com/sforce/ws/bind/TypeMapper.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,77.639
ctl,fusesource_jansi__f4065227fc,fusesource_jansi__f4065227fc__src_main_java_org_fusesource_jansi_WindowsAnsiOutputStream.java,src/main/java/org/fusesource/jansi/WindowsAnsiOutputStream.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,70.568
