merge_id,repository,merge_sha,left,right,stratum,num_intersecting_files,files_materialized,order
solita_functional-utils__396886272a,solita/functional-utils,396886272a60f4a5ad21a5277071f7bc9c3247b1,2d4530ed4fa4f1cf86235595759720d5d622cae2,80a2b66a68c0b2db255627804c09df2b6b2dc22b,le3,2,1,30
spigotmc_bungeecord__d5d204c80c,spigotmc/bungeecord,d5d204c80cbb9f7282a385cd84b7ce3636a22bbf,3f6996dbe8debe0d3d8ae92b67c10273306ff984,dce4ea193ad461832094f4368829e927db578265,gt3,4,3,31
dieselpoint_norm__f09183b3a5,dieselpoint/norm,f09183b3a52d7713dcc6a1b6036bcd3819f947c9,bb4c6525f96b050686cd07f699eed6eff08ec003,8acf20e0ce8d99523927b4fcc4eb90b92a0a621f,le3,2,1,32
sdllanguagetechnologies_testy__0bf477ccc7,sdllanguagetechnologies/testy,0bf477ccc77a6520539fe7e11709e07be71f85ae,1d0cfa99fb9f6603805e823f19d5b92bed401406,929cf45ec065c4cc0fa4ff743ff74c29a779d253,le3,2,1,33
hdiv_hdiv__b018f08537,hdiv/hdiv,b018f08537d904981c8ef9a7ecf6b5e400869682,c482fc4f6a786a68d0a5e084e752337b2988f683,0f0bc5e0733991002bf425ae75960974dba3c400,le3,2,1,34
scribble_scribble-java__164250d0d0,scribble/scribble-java,164250d0d03a6cfb879d3ea5c5672bac5b0133ec,ea369a7bd0505034d7ed548fb26eeaeb70198517,2742ef8fd2ec92aa2b7f7a208961892a18ca580c,le3,3,2,35
cloudfoundry_cf-java-client__0fcd650324,cloudfoundry/cf-java-client,0fcd650324c32696cc5f752787697dddc0b41a35,f1b0826faa82e2481b4d1ec5b16d5d44d107077e,2f788a386909d1bf934a29fd48a6b1d21290e746,gt3,4,3,36
dynjs_dynjs__ee2219fc8b,dynjs/dynjs,ee2219fc8b7178f9df605277b89200011093a534,b0f3e1e3217792abd2cec6e18bf7e376f56ae1d1,cf7bbe9e06fd28c686ecbc47ba59bfa25c854e47,gt3,4,2,37
mercadopago_sdk-java__f60681aae0,mercadopago/sdk-java,f60681aae04e2986541668b836247750833f4147,31885f3c5c4908aec7e7c1249dc024d64a623418,78228de02eb44f771159020c833a8f4da3894763,le3,3,2,38
linkedin_camus__2d23f37b6d,linkedin/camus,2d23f37b6dc778f8d12eea62aeff9eaf912f8987,6386ad6b2e9adb840ab1c456f2521ff07cce2617,67234f7f88be7caf709d80c601d829c753f5ec2b,le3,2,1,39
