arm,merge_id,scenario_id,outcome,reject_reason,classification,oracle,source
pos,jcabi_jcabi-github__b13d2596ba,jcabi_jcabi-github__b13d2596ba__src_test_java_com_jcabi_github_RtMilestonesITCase.java,clean,,FP,test-label,driver-mergiraf
pos,jcabi_jcabi-github__e18a8ffd16,jcabi_jcabi-github__e18a8ffd16__src_test_java_com_jcabi_github_RtHooksITCase.java,conflict,semantic,TN,dev-match,driver-mergiraf
pos,jcabi_jcabi-http__0c63dd0c75,jcabi_jcabi-http__0c63dd0c75__src_main_java_com_jcabi_http_mock_MkQueryMatchers.java,clean,,TP,dev-match,driver-git
pos,jdupl_lancoder__407742ea19,jdupl_lancoder__407742ea19__src_main_java_org_lancoder_Main.java,clean,,FP,test-label,driver-git
pos,jdupl_lancoder__407742ea19,jdupl_lancoder__407742ea19__src_main_java_org_lancoder_master_api_web_ApiServer.java,conflict,textual,FN,dev-match,driver-git
pos,jenkinsci_coverity-plugin__2fb8690816,jenkinsci_coverity-plugin__2fb8690816__src_main_java_jenkins_plugins_coverity_CoverityTool_CoverityToolHandler.java,clean,,FP,test-label,driver-git
pos,jenkinsci_coverity-plugin__62bdb6232e,jenkinsci_coverity-plugin__62bdb6232e__src_main_java_jenkins_plugins_coverity_ws_DefectReader.java,clean,,FP,test-label,driver-mergiraf
pos,jenkinsci_coverity-plugin__62bdb6232e,jenkinsci_coverity-plugin__62bdb6232e__src_test_java_jenkins_plugins_coverity_ws_DefectReaderTest.java,clean,,FP,test-label,driver-git
pos,jenkinsci_credentials-plugin__b9cb5f9d1b,jenkinsci_credentials-plugin__b9cb5f9d1b__src_test_java_com_cloudbees_plugins_credentials_casc_CredentialsCategoryTest.java,clean,,FP,test-label,driver-mergiraf
pos,jenkinsci_docker-build-publish-plugin__59faa9673c,jenkinsci_docker-build-publish-plugin__59faa9673c__src_main_java_com_cloudbees_dockerpublish_DockerBuilder.java,clean,,FP,test-label,driver-mergiraf
pos,jenkinsci_email-ext-plugin__4def0e56a8,jenkinsci_email-ext-plugin__4def0e56a8__src_test_java_hudson_plugins_emailext_recipients_EmailRecipientUtilsTest.java,clean,,FP,test-label,driver-git
pos,jenkinsci_jira-plugin__0eec353cb5,jenkinsci_jira-plugin__0eec353cb5__src_main_java_hudson_plugins_jira_JiraSite.java,clean,,FP,test-label,driver-git
pos,jenkinsci_jira-plugin__6ad78581c9,jenkinsci_jira-plugin__6ad78581c9__src_main_java_hudson_plugins_jira_JiraChangeLogAnnotator.java,clean,,FP,test-label,driver-git
pos,jenkinsci_jira-plugin__6ad78581c9,jenkinsci_jira-plugin__6ad78581c9__src_main_java_hudson_plugins_jira_JiraSite.java,clean,,FP,test-label,driver-mergiraf
pos,jenkinsci_ldap-plugin__3eee59e25a,jenkinsci_ldap-plugin__3eee59e25a__src_main_java_hudson_security_LDAPSecurityRealm.java,clean,,FP,test-label,driver-mergiraf
pos,jenkinsci_ui-samples-plugin__81bf937a3d,jenkinsci_ui-samples-plugin__81bf937a3d__src_main_java_io_jenkins_plugins_designlibrary_Root.java,conflict,textual,TN,dev-match,driver-git
pos,jline_jline2__348cb9dada,jline_jline2__348cb9dada__src_main_java_jline_console_ConsoleReader.java,clean,,FP,test-label,driver-mergiraf
pos,jline_jline2__348cb9dada,jline_jline2__348cb9dada__src_test_java_jline_console_ConsoleReaderTestSupport.java,clean,,FP,test-label,driver-git
pos,jline_jline2__5869eaa93a,jline_jline2__5869eaa93a__src_main_java_jline_console_ConsoleReader.java,conflict,textual,TN,dev-match,driver-mergiraf
pos,jmetal_jmetal__162d1a63b7,jmetal_jmetal__162d1a63b7__jmetal-core_src_main_java_org_uma_jmetal_util_SolutionListUtils.java,clean,,FP,test-label,driver-mergiraf
pos,jmetal_jmetal__162d1a63b7,jmetal_jmetal__162d1a63b7__jmetal-core_src_main_java_org_uma_jmetal_util_neighborhood_impl_AdaptiveRandomNeighborhood.java,clean,,FP,test-label,driver-mergiraf
pos,jmetal_jmetal__7d9295f890,jmetal_jmetal__7d9295f890__jmetal-problem_src_main_java_org_uma_jmetal_problem_multiobjective_MultiobjectiveTSP.java,clean,,FP,test-label,driver-mergiraf
pos,jmetal_jmetal__b4630972a8,jmetal_jmetal__b4630972a8__jmetal-auto_src_main_java_org_uma_jmetal_auto_parameter_Parameter.java,clean,,FP,test-label,driver-mergiraf
pos,jnr_jnr-unixsocket__467698b6bd,jnr_jnr-unixsocket__467698b6bd__src_main_java_jnr_unixsocket_Native.java,clean,,FP,test-label,driver-mergiraf
pos,jnr_jnr-unixsocket__467698b6bd,jnr_jnr-unixsocket__467698b6bd__src_main_java_jnr_unixsocket_UnixSocketChannel.java,clean,,FP,test-label,driver-git
pos,jnr_jnr-unixsocket__f8f34e5634,jnr_jnr-unixsocket__f8f34e5634__src_main_java_jnr_unixsocket_Native.java,clean,,FP,test-label,driver-mergiraf
pos,joel-costigliola_assertj-core__1b4ad829f3,joel-costigliola_assertj-core__1b4ad829f3__src_test_java_org_assertj_core_api_SoftAssertionsTest.java,clean,,FP,test-label,driver-mergiraf
pos,joel-costigliola_assertj-core__74baae279d,joel-costigliola_assertj-core__74baae279d__src_main_java_org_assertj_core_api_AbstractMapAssert.java,clean,,FP,test-label,driver-mergiraf
pos,joel-costigliola_assertj-core__74baae279d,joel-costigliola_assertj-core__74baae279d__src_main_java_org_assertj_core_api_AbstractObjectAssert.java,clean,,TP,dev-match,driver-git
pos,jparsec_jparsec__ef02642abd,jparsec_jparsec__ef02642abd__src_main_java_org_codehaus_jparsec_Parser.java,conflict,textual,TN,dev-match,driver-git
pos,jsprit_jsprit__5cf6758085,jsprit_jsprit__5cf6758085__jsprit-core_src_test_java_jsprit_core_analysis_SolutionAnalyserTest.java,clean,,FP,test-label,driver-git
pos,jwtk_jjwt__ff932e9838,jwtk_jjwt__ff932e9838__src_main_java_io_jsonwebtoken_impl_DefaultJwtParser.java,clean,,FP,test-label,driver-mergiraf
pos,k3po_k3po__084cc0b426,k3po_k3po__084cc0b426__specification_wse_src_test_java_org_kaazing_specification_wse_data_BinaryAsEscapedTextIT.java,clean,,FP,test-label,driver-mergiraf
pos,kaazing_k3po__084cc0b426,kaazing_k3po__084cc0b426__specification_wse_src_test_java_org_kaazing_specification_wse_data_BinaryAsEscapedTextIT.java,clean,,FP,test-label,driver-mergiraf
pos,kaazing_robot__084cc0b426,kaazing_robot__084cc0b426__specification_wse_src_test_java_org_kaazing_specification_wse_data_BinaryAsEscapedTextIT.java,clean,,FP,test-label,driver-mergiraf
pos,kohsuke_github-api__4e56b8bb78,kohsuke_github-api__4e56b8bb78__src_main_java_org_kohsuke_github_GHRepository.java,conflict,textual,TN,dev-match,driver-git
pos,kohsuke_github-api__4e56b8bb78,kohsuke_github-api__4e56b8bb78__src_main_java_org_kohsuke_github_Requester.java,clean,,FP,test-label,driver-git
pos,kongchen_swagger-maven-plugin__1e61731653,kongchen_swagger-maven-plugin__1e61731653__src_main_java_com_github_kongchen_swagger_docgen_reader_SpringMvcApiReader.java,clean,,FP,test-label,driver-git
pos,kongchen_swagger-maven-plugin__3d2ea22d07,kongchen_swagger-maven-plugin__3d2ea22d07__src_main_java_com_github_kongchen_swagger_docgen_reader_AbstractReader.java,clean,,FP,test-label,driver-mergiraf
pos,learning-layers_socialsemanticserver__4ada3cddc3,learning-layers_socialsemanticserver__4ada3cddc3__serv_serv.custom_serv.custom.caller_src_main_java_at_tugraz_sss_serv_caller_SSServCaller.java,conflict,textual,TN,dev-match,driver-git
pos,learning-layers_socialsemanticserver__4ada3cddc3,learning-layers_socialsemanticserver__4ada3cddc3__serv_serv.custom_serv.custom.ops_src_main_java_at_tugraz_sss_serv_SSServOpE.java,clean,,FP,test-label,driver-git
pos,lwhite1_tablesaw__13178c81a1,lwhite1_tablesaw__13178c81a1__core_src_main_java_tech_tablesaw_api_DateTimeColumn.java,clean,,FP,test-label,driver-mergiraf
pos,mashape_unirest-java__121f85b819,mashape_unirest-java__121f85b819__src_test_java_com_mashape_unirest_test_http_UnirestTest.java,conflict,textual,TN,dev-match,driver-git
pos,mashape_unirest-java__b43fb95f4a,mashape_unirest-java__b43fb95f4a__src_test_java_com_mashape_unirest_test_http_UnirestTest.java,conflict,textual,TN,dev-match,driver-git
pos,mbosecke_pebble__617aab328f,mbosecke_pebble__617aab328f__src_main_java_com_mitchellbosecke_pebble_extension_core_CoreExtension.java,clean,,FP,test-label,driver-mergiraf
pos,mbosecke_pebble__617aab328f,mbosecke_pebble__617aab328f__src_test_java_com_mitchellbosecke_pebble_CoreTagsTest.java,clean,,FP,test-label,driver-mergiraf
