config,arm,merge_id,scenario_id,outcome,reject_reason,classification,oracle,rt,route_effective,lanes,flags
driver-auto-off,pos,feroult_yawp__141f79a8e9,feroult_yawp__141f79a8e9__src_main_java_endpoint_repository_IdRef.java,clean,,FP,test-label,74.34,git,,
driver-auto-off,pos,feroult_yawp__1723236a65,feroult_yawp__1723236a65__src_main_java_endpoint_actions_RepositoryActions.java,clean,,FP,test-label,75.387,mergiraf,,
driver-auto-off,pos,frankbille_scoreboard__890ecd0bdb,frankbille_scoreboard__890ecd0bdb__src_main_java_dk_frankbille_scoreboard_domain_Player.java,clean,,FP,test-label,71.018,mergiraf,,
driver-auto-off,pos,garbagemule_mobarena__b34dc0d5ac,garbagemule_mobarena__b34dc0d5ac__src_main_java_com_garbagemule_MobArena_MASpawnThread.java,clean,,FP,test-label,80.385,git,,
driver-auto-off,pos,google_compile-testing__608e1cb92a,google_compile-testing__608e1cb92a__src_test_java_com_google_testing_compile_JavaSourcesSubjectFactoryTest.java,conflict,textual,FN,dev-match,71.809,git,,
driver-auto-off,pos,google_truth__2e4a23bebb,google_truth__2e4a23bebb__core_src_main_java_org_truth0_subjects_StringSubject.java,clean,,FP,test-label,74.0,git,,
driver-auto-off,pos,google_truth__2e4a23bebb,google_truth__2e4a23bebb__core_src_test_java_org_truth0_subjects_StringTest.java,clean,,FP,test-label,73.112,git,,
driver-auto-off,pos,google_truth__9289ed34ae,google_truth__9289ed34ae__src_main_java_org_junit_contrib_truth_subjects_IterableSubject.java,conflict,textual,TN,dev-match,70.877,git,,
driver-auto-off,pos,google_truth__9289ed34ae,google_truth__9289ed34ae__src_test_java_org_junit_contrib_truth_IterableTest.java,clean,,FP,test-label,73.67,mergiraf,,
driver-auto-off,pos,greese_dasein-cloud-core__6c37152e5f,greese_dasein-cloud-core__6c37152e5f__src_main_java_org_dasein_cloud_network_LoadBalancerHealthCheck.java,conflict,textual,FN,dev-match,70.484,git,,
driver-auto-off,pos,guhilling_cdi-test__f3f8094c67,guhilling_cdi-test__f3f8094c67__cdi-test-jpa_src_test_java_de_hilling_junit_cdi_jee_EntityManagerLifecycleTest.java,clean,,FP,test-label,71.896,mergiraf,,
driver-auto-off,pos,gwtbootstrap3_gwtbootstrap3__5c0d1eab79,gwtbootstrap3_gwtbootstrap3__5c0d1eab79__gwtbootstrap3_src_main_java_org_gwtbootstrap3_client_ui_base_form_AbstractForm.java,clean,,FP,test-label,76.528,mergiraf,,
driver-auto-off,pos,haraldwalker_user-agent-utils__eaaaa1488b,haraldwalker_user-agent-utils__eaaaa1488b__src_main_java_eu_bitwalker_useragentutils_Browser.java,clean,,FP,test-label,76.802,git,,
driver-auto-off,pos,haraldwalker_user-agent-utils__eaaaa1488b,haraldwalker_user-agent-utils__eaaaa1488b__src_main_java_eu_bitwalker_useragentutils_OperatingSystem.java,clean,,FP,test-label,75.777,git,,
driver-auto-off,pos,ignorance77_transformiceapi__9a65b8374f,ignorance77_transformiceapi__9a65b8374f__src_main_java_ee_ignorance_transformiceapi_processors_MouseDeathProcessor.java,clean,,FP,test-label,70.799,git,,
driver-auto-off,pos,imixs_imixs-workflow__23b86de5b4,imixs_imixs-workflow__23b86de5b4__imixs-workflow-index-lucene_src_main_java_org_imixs_workflow_engine_lucene_LuceneIndexService.java,clean,,FP,test-label,81.321,mergiraf,,
driver-auto-off,pos,imixs_imixs-workflow__23b86de5b4,imixs_imixs-workflow__23b86de5b4__imixs-workflow-index-lucene_src_main_java_org_imixs_workflow_engine_lucene_LuceneUpdateService.java,clean,,FP,test-label,72.788,mergiraf,,
driver-auto-off,pos,iryndin_jdbf__9853124d73,iryndin_jdbf__9853124d73__src_main_java_net_iryndin_jdbf_util_DbfMetadataUtils.java,clean,,FP,test-label,76.443,mergiraf,,
driver-auto-off,pos,j256_ormlite-core__2c159335d4,j256_ormlite-core__2c159335d4__src_main_java_com_j256_ormlite_stmt_mapped_MappedCreate.java,clean,,FP,test-label,77.595,mergiraf,,
driver-auto-off,pos,j256_ormlite-core__606986f118,j256_ormlite-core__606986f118__src_main_java_com_j256_ormlite_field_FieldType.java,clean,,FP,test-label,97.834,mergiraf,,
driver-auto-off,pos,jacquesberger_jsonparsingexample__ac521954c2,jacquesberger_jsonparsingexample__ac521954c2__src_main_java_org_jberger_jsonparsingexample_json_JSON.java,conflict,semantic,TN,dev-match,73.517,mergiraf,JoernUnresolvedReference,JoernUnresolvedReference L34: Unresolved identifier 'bookTitleList' in method 'saveToFiles': referenced in the merged file but res | JoernUnresolvedReference L43: Unresolved identifier 'outputList' in method 'initializeBookList': referenced in the merged file but
driver-auto-off,pos,jadler-mocking_jadler__294a06c3fc,jadler-mocking_jadler__294a06c3fc__jadler-core_src_main_java_net_jadler_JadlerMocker.java,clean,,FP,test-label,79.637,mergiraf,,
driver-auto-off,pos,javamoney_jsr354-api__6d2356a153,javamoney_jsr354-api__6d2356a153__money-api_provider_src_test_java_javax_money_provider_MonetaryTest.java,clean,,FP,test-label,73.718,mergiraf,,
driver-auto-off,pos,javaparser_javaparser__41a398414f,javaparser_javaparser__41a398414f__javaparser-symbol-solver-core_src_main_java_com_github_javaparser_symbolsolver_javaparsermodel_JavaParserFacade.java,clean,,FP,test-label,83.954,mergiraf,,
driver-auto-off,pos,javaparser_javaparser__41a398414f,javaparser_javaparser__41a398414f__javaparser-symbol-solver-core_src_main_java_com_github_javaparser_symbolsolver_javaparsermodel_TypeExtractor.java,clean,,FP,test-label,82.969,git,,
driver-auto-off,pos,javaparser_javaparser__91ebf36c06,javaparser_javaparser__91ebf36c06__javaparser-symbol-solver-core_src_main_java_com_github_javaparser_symbolsolver_javassistmodel_JavassistClassDeclaration.java,clean,,FP,test-label,79.747,mergiraf,,
