merge_id,stratum,num_intersecting_csv,status,split,files_materialized,files_scored,files_dropped,dropped_reasons,truncation_level,unit_tokens,over_30k
named-data_jndn__3d47402192,A,2,scored,derivation,1,1,0,,T0,2828,0
named-data_jndn__e0db451bf1,A,2,scored,heldout,1,1,0,,T2,20959,0
addthis_stream-lib__efd2e9109f,B,4,materialization_loss,,,,,,,,
mbosecke_pebble__4466be45d7,B,4,scored,heldout,2,2,0,,T0,17208,0
mbosecke_pebble__e1d07bf277,B,4,scored,derivation,2,2,0,,T0,25039,0
mbosecke_pebble__bb807558a3,B,7,scored,heldout,6,6,0,,T2,20850,0
mbosecke_pebble__617aab328f,A,3,scored,derivation,2,2,0,,T0,13076,0
javamoney_jsr354-api__6d2356a153,A,2,scored,heldout,1,1,0,,T0,20402,0
jenkinsci_ui-samples-plugin__81bf937a3d,A,2,scored,heldout,1,1,0,,T0,3805,0
eirslett_frontend-maven-plugin__d543d86d84,B,5,scored,heldout,1,1,0,,T0,3196,0
google_compile-testing__608e1cb92a,A,2,scored,heldout,1,1,0,,T0,7279,0
relayrides_pushy__21150905f2,B,4,scored,heldout,3,2,1,conflict,T0,18036,0
relayrides_pushy__6badde9538,A,2,scored,derivation,1,1,0,,T0,18975,0
urbanairship_java-library__bbe0297a10,A,3,scored,derivation,2,2,0,,T0,23789,0
premium-minds_billy__bc9db33323,B,14,scored,derivation,13,13,0,,T3,27181,0
spigotmc_bungeecord__9fa5e74c10,B,4,scored,heldout,3,3,0,,T2,14803,0
spigotmc_bungeecord__b71e3b33f3,B,12,scored,derivation,5,5,0,,T0,24284,0
spigotmc_bungeecord__8943fe2bd2,B,27,scored,derivation,8,8,0,,T2,24354,0
spigotmc_bungeecord__96db0c71b8,B,9,scored,heldout,6,6,0,,T3,29930,0
spigotmc_bungeecord__f1fe6fd925,A,2,materialization_loss,,,,,,,,
spigotmc_bungeecord__7b3dcf9d69,B,6,scored,heldout,5,5,0,,T2,23852,0
spigotmc_bungeecord__78083158f5,B,10,scored,derivation,7,7,0,,T2,14503,0
spigotmc_bungeecord__760d3618d3,B,19,scored,derivation,17,17,0,,T3/cap6,29799,0
spigotmc_bungeecord__84babbd5fe,B,12,scored,derivation,7,7,0,,T1,29074,0
jsprit_jsprit__5cf6758085,A,2,scored,heldout,1,1,0,,T3/cap1/trunc400,12586,0
jsprit_jsprit__c60ab8afd0,B,8,scored,heldout,7,7,0,,T2,12761,0
jsprit_jsprit__193d4ec85c,B,4,scored,derivation,3,3,0,,T3/cap1,25205,0
jsprit_jsprit__df2e3e4b7e,B,5,scored,derivation,4,4,0,,T3/cap3,21234,0
jsprit_jsprit__2eb2672f6c,A,3,materialization_loss,,,,,,,,
ignorance77_transformiceapi__9a65b8374f,A,2,scored,heldout,1,1,0,,T0,1383,0
mashape_unirest-java__121f85b819,A,2,scored,derivation,1,1,0,,T0,19789,0
mashape_unirest-java__b43fb95f4a,A,3,scored,derivation,1,1,0,,T0,21301,0
irstv_cts__99e5d7dd43,B,6,scored,heldout,5,5,0,,T3/cap2,28621,0
