arm,merge_id,scenario_id,file_path,merge_outcome,category,JoernDataFlowInterference,JoernUnresolvedReference,JoernInfiniteLoop,JoernInvalidLoopBounds,RM2RenameConflict,file_verdict,runtime_s
ctl,pushy__58901c846e__com.relayrides.pushy.apns.PushManager,pushy__58901c846e__com.relayrides.pushy.apns.PushManager,com/relayrides/pushy/apns/PushManager.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,85.967
ctl,quickml__0d29fd9917__quickdt.experiments.OutOfTimeCrossValidatorRunner,quickml__0d29fd9917__quickdt.experiments.OutOfTimeCrossValidatorRunner,quickdt/experiments/OutOfTimeCrossValidatorRunner.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,80.333
ctl,quickml__bae968d9a8__quickdt.experiments.OutOfTimeCrossValidatorRunner,quickml__bae968d9a8__quickdt.experiments.OutOfTimeCrossValidatorRunner,quickdt/experiments/OutOfTimeCrossValidatorRunner.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,79.617
ctl,retrofit__2b6c719c66__retrofit.RestAdapter,retrofit__2b6c719c66__retrofit.RestAdapter,retrofit/RestAdapter.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,88.259
ctl,spring-boot__074771ec12__org.springframework.boot.context.web.SpringBootServletInitializer,spring-boot__074771ec12__org.springframework.boot.context.web.SpringBootServletInitializer,spring-boot/src/main/java/org/springframework/boot/context/SpringBootServletInitializer.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,81.209
ctl,spring-boot__2d4e68a977__org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory,spring-boot__2d4e68a977__org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory,src/main/java/org/springframework/boot/context/embedded/TomcatEmbeddedServletContainerFactory.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,88.247
ctl,spring-boot__3444ebbc05__org.springframework.boot.context.web.SpringBootServletInitializer,spring-boot__3444ebbc05__org.springframework.boot.context.web.SpringBootServletInitializer,spring-boot/src/main/java/org/springframework/boot/context/SpringBootServletInitializer.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,80.77
ctl,spring-boot__6664ce19d6__org.springframework.boot.jta.atomikos.AtomikosProperties,spring-boot__6664ce19d6__org.springframework.boot.jta.atomikos.AtomikosProperties,spring-boot/src/main/java/org/springframework/boot/jta/AtomikosProperties.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,81.076
ctl,spring-boot__958a0a45f1__org.springframework.boot.autoconfigure.mongo.MongoProperties,spring-boot__958a0a45f1__org.springframework.boot.autoconfigure.mongo.MongoProperties,spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/MongoProperties.java,conflict,none,,,,,,DIVERGED,0.278
ctl,spring-boot__af20dc6cc4__org.springframework.boot.loader.archive.ExplodedArchive,spring-boot__af20dc6cc4__org.springframework.boot.loader.archive.ExplodedArchive,org/springframework/boot/loader/archive/ExplodedArchive.java,conflict,none,,,,,,DIVERGED,0.253
ctl,spring-boot__af20dc6cc4__org.springframework.boot.loader.archive.ExplodedArchiveTests,spring-boot__af20dc6cc4__org.springframework.boot.loader.archive.ExplodedArchiveTests,org/springframework/boot/loader/archive/ExplodedArchiveTests.java,conflict,none,,,,,,DIVERGED,0.244
ctl,spring-boot__c93ea54ea3__org.springframework.boot.autoconfigure.cache.RedisCacheConfiguration,spring-boot__c93ea54ea3__org.springframework.boot.autoconfigure.cache.RedisCacheConfiguration,spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/RedisCacheConfiguration.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,79.526
ctl,spring-boot__ea8107b6a5__org.springframework.boot.context.embedded.undertow.UndertowEmbeddedServletContainerFactory,spring-boot__ea8107b6a5__org.springframework.boot.context.embedded.undertow.UndertowEmbeddedServletContainerFactory,org/springframework/boot/context/embedded/undertow/UndertowEmbeddedServletContainerFactory.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,87.874
ctl,spring-boot__fdd3f12ee0__org.springframework.boot.autoconfigure.logging.AutoConfigurationReportLoggingInitializer,spring-boot__fdd3f12ee0__org.springframework.boot.autoconfigure.logging.AutoConfigurationReportLoggingInitializer,spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/AutoConfigurationReportLoggingInitializer.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,84.668
ctl,storm__bd1f5c5475__org.apache.storm.kafka.spout.KafkaSpout,storm__bd1f5c5475__org.apache.storm.kafka.spout.KafkaSpout,org/apache/storm/kafka/spout/KafkaSpout.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,89.189
ctl,swagger-core__e7fea7c488__io.swagger.jaxrs2.OperationParser,swagger-core__e7fea7c488__io.swagger.jaxrs2.OperationParser,io/swagger/jaxrs2/OperationParser.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,90.627
ctl,titan__04edd7f0e7__com.thinkaurelius.titan.graphdb.transaction.StandardTitanTx,titan__04edd7f0e7__com.thinkaurelius.titan.graphdb.transaction.StandardTitanTx,com/thinkaurelius/titan/graphdb/transaction/StandardTitanTx.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,99.13
ctl,titan__387c16ea05__com.thinkaurelius.titan.graphdb.database.serialize.SerializerInitialization,titan__387c16ea05__com.thinkaurelius.titan.graphdb.database.serialize.SerializerInitialization,com/thinkaurelius/titan/graphdb/database/serialize/SerializerInitialization.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,81.358
ctl,vavr__204635d915__javaslang.control.Validation,vavr__204635d915__javaslang.control.Validation,javaslang/control/Validation.java,conflict,none,,,,,,DIVERGED,0.343
ctl,voldemort__4cc1c14581__voldemort.server.VoldemortConfig,voldemort__4cc1c14581__voldemort.server.VoldemortConfig,voldemort/server/VoldemortConfig.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,102.355
ctl,voldemort__b30fdfebe3__voldemort.VoldemortClientShell,voldemort__b30fdfebe3__voldemort.VoldemortClientShell,voldemort/VoldemortClientShell.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,91.492
ctl,webbit__74d2d2b877__org.webbitserver.netty.WebSocketClient$HandshakeChannelHandler,webbit__74d2d2b877__org.webbitserver.netty.WebSocketClient$HandshakeChannelHandler,org/webbitserver/netty/WebSocketClient.java,clean,none,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,85.945
